Away,Travel Distance,Away Points
Galatasaray,6317.87,3
Union Berlin,5214.86,2
Sevilla,5050.24,1
Manchester Utd,4833.16,1
Napoli,4714.95,6
Lazio,4604.5,3
Benfica,4526.21,3
Atlético Madrid,4508.75,5
Celtic,4407.67,0
Porto,4361.43,6
Braga,4360.46,3
Manchester City,3926.35,9
Shakhtar,3892.51,3
Red Star,3880.85,0
FC Copenhagen,3850.74,2
Real Madrid,3804.45,9
RB Salzburg,3706.37,4
Bayern Munich,3569.59,9
Barcelona,3484.2,3
Feyenoord,3414.86,0
Antwerp,3067.28,0
Inter,2996.45,5
Real Sociedad,2977.61,7
Newcastle Utd,2756.16,2
Young Boys,2643.28,1
Milan,2631.21,4
RB Leipzig,2568.48,6
PSV Eindhoven,2411.05,4
Arsenal,2265.13,4
Lens,2067.78,1
Dortmund,1871.94,6
Paris S-G,1844.07,1
