Home,Score,Away,Attendance,Venue
Milan,0–0,Newcastle Utd,65695,Stadio San Siro
Young Boys,1–3,RB Leipzig,31500,Stadion Wankdorf
Manchester City,3–1,Red Star,50204,Etihad Stadium
Paris S-G,2–0,Dortmund,47379,Parc des Princes
Lazio,1–1,Atlético Madrid,46168,Stadio Olimpico
Feyenoord,2–0,Celtic,44008,Stadion Feijenoord
Barcelona,5–0,Antwerp,40989,Estadi Olímpic Lluís Companys
Shakhtar,1–3,Porto,46729,Volksparkstadion
Real Madrid,1–0,Union Berlin,65207,Estadio Santiago Bernabéu
Galatasaray,2–2,FC Copenhagen,46911,RAMS Park
Braga,1–2,Napoli,18422,Estádio Municipal de Braga
Arsenal,4–0,PSV Eindhoven,58860,Emirates Stadium
Benfica,0–2,RB Salzburg,60917,Estádio do Sport Lisboa e Benfica
Sevilla,1–1,Lens,33544,Estadio Ramón Sánchez Pizjuán
Bayern Munich,4–3,Manchester Utd,75000,Allianz Arena
Real Sociedad,1–1,Inter,36591,Reale Arena
RB Salzburg,0–2,Real Sociedad,28227,Red Bull Arena (Salzburg)
Union Berlin,2–3,Braga,73445,Olympiastadion Berlin
Manchester Utd,2–3,Galatasaray,73204,Old Trafford
PSV Eindhoven,2–2,Sevilla,34206,Philips Stadion
Inter,1–0,Benfica,66573,Stadio Giuseppe Meazza
FC Copenhagen,1–2,Bayern Munich,35690,Parken
Napoli,2–3,Real Madrid,51649,Stadio Diego Armando Maradona
Lens,2–1,Arsenal,37040,Stade Bollaert-Delelis
Atlético Madrid,3–2,Feyenoord,61742,Estadio Cívitas Metropolitano
Antwerp,2–3,Shakhtar,13509,Bosuilstadion
Newcastle Utd,4–1,Paris S-G,52009,St James' Park
Porto,0–1,Barcelona,49722,Estádio do Dragão
Celtic,1–2,Lazio,56063,Celtic Park
RB Leipzig,1–3,Manchester City,45228,Red Bull Arena (Leipzig)
Dortmund,0–0,Milan,81365,Signal Iduna Park
Red Star,2–2,Young Boys,47201,Stadion Rajko Mitić
Inter,2–1,RB Salzburg,71825,Stadio Giuseppe Meazza
Galatasaray,1–3,Bayern Munich,51776,RAMS Park
Manchester Utd,1–0,FC Copenhagen,73249,Old Trafford
Benfica,0–1,Real Sociedad,56002,Estádio do Sport Lisboa e Benfica
Braga,1–2,Real Madrid,29820,Estádio Municipal de Braga
Sevilla,1–2,Arsenal,39595,Estadio Ramón Sánchez Pizjuán
Lens,1–1,PSV Eindhoven,38133,Stade Bollaert-Delelis
Union Berlin,0–1,Napoli,72062,Olympiastadion Berlin
Barcelona,2–1,Shakhtar,41409,Estadi Olímpic Lluís Companys
Feyenoord,3–1,Lazio,44031,Stadion Feijenoord
Celtic,2–2,Atlético Madrid,55844,Celtic Park
Newcastle Utd,0–1,Dortmund,52024,St James' Park
Antwerp,1–4,Porto,13651,Bosuilstadion
Young Boys,1–3,Manchester City,31500,Stadion Wankdorf
Paris S-G,3–0,Milan,45962,Parc des Princes
RB Leipzig,3–1,Red Star,42209,Red Bull Arena (Leipzig)
Dortmund,2–0,Newcastle Utd,81365,Signal Iduna Park
