Venue,City,Country,Capacity
Allianz Arena,München,Germany,75024
Bosuilstadion,Antwerp,Belgium,16649
Celtic Park,Glasgow,Scotland,60832
Estadio Cívitas Metropolitano,Madrid,Spain,68456
Stadion Feijenoord,Rotterdam,Netherlands,51177
Stadio Diego Armando Maradona,Napoli,Italy,60240
Emirates Stadium,London,England,60704
Estádio do Sport Lisboa e Benfica,Lisboa,Portugal,65272
Estádio do Dragão,Porto,Portugal,54378
Estádio Municipal de Braga,Braga,Portugal,30154
Etihad Stadium,Manchester,England,55097
Stadio Giuseppe Meazza,Milano,Italy,75923
Stadion Rajko Mitić,Beograd,Serbia,55538
Old Trafford,Manchester,England,74140
Estadi Olímpic Lluís Companys,Barcelona,Spain,54367
Stadio Olimpico,Roma,Italy,70634
Olympiastadion Berlin,Berlin,Germany,74475
Parc des Princes,Paris,France,48229
Parken,København,Denmark,38076
Philips Stadion,Eindhoven,Netherlands,35000
Estadio Ramón Sánchez Pizjuán,Sevilla,Spain,43883
RAMS Park,Istanbul,Turkey,52280
Reale Arena,San Sebastián,Spain,39500
Red Bull Arena (Salzburg),Wals-Siezenheim,Austria,31895
Red Bull Arena (Leipzig),Leipzig,Germany,47069
Estadio Santiago Bernabéu,Madrid,Spain,81044
Signal Iduna Park,Dortmund,Germany,81365
St James' Park,Newcastle,England,52409
Stade Bollaert-Delelis,Lens,France,38223
Stadion Wankdorf,Bern,Switzerland,32000
Volksparkstadion,Hamburg,Germany,57000
Stadio San Siro,Milano,Italy,75923
