Home,Score,Away,Attendance,Venue,City,Country,Capacity,Result,Travel Distance,Home Points,Away Points
Milan,0–0,Newcastle Utd,65695,Stadio San Siro,Milano,Italy,75923,Draw,1305.76,1,1
Young Boys,1–3,RB Leipzig,31500,Stadion Wankdorf,Bern,Switzerland,32000,Away Win,605.99,0,3
Manchester City,3–1,Red Star,50204,Etihad Stadium,Manchester,England,55097,Home Win,1903.71,3,0
Paris S-G,2–0,Dortmund,47379,Parc des Princes,Paris,France,48229,Home Win,470.08,3,0
Lazio,1–1,Atlético Madrid,46168,Stadio Olimpico,Roma,Italy,70634,Draw,1366.45,1,1
Feyenoord,2–0,Celtic,44008,Stadion Feijenoord,Rotterdam,Netherlands,51177,Home Win,721.09,3,0
Barcelona,5–0,Antwerp,40989,Estadi Olímpic Lluís Companys,Barcelona,Spain,54367,Home Win,1106.77,3,0
Shakhtar,1–3,Porto,46729,Volksparkstadion,Hamburg,Germany,57000,Away Win,1958.0,0,3
Real Madrid,1–0,Union Berlin,65207,Estadio Santiago Bernabéu,Madrid,Spain,81044,Home Win,1870.47,3,0
Galatasaray,2–2,FC Copenhagen,46911,RAMS Park,Istanbul,Turkey,52280,Draw,2021.19,1,1
Braga,1–2,Napoli,18422,Estádio Municipal de Braga,Braga,Portugal,30154,Away Win,1898.52,0,3
Arsenal,4–0,PSV Eindhoven,58860,Emirates Stadium,London,England,60704,Home Win,389.52,3,0
Benfica,0–2,RB Salzburg,60917,Estádio do Sport Lisboa e Benfica,Lisboa,Portugal,65272,Away Win,2049.9,0,3
Sevilla,1–1,Lens,33544,Estadio Ramón Sánchez Pizjuán,Sevilla,Spain,43883,Draw,1610.44,1,1
Bayern Munich,4–3,Manchester Utd,75000,Allianz Arena,München,Germany,75024,Home Win,1138.26,3,0
Real Sociedad,1–1,Inter,36591,Reale Arena,San Sebastián,Spain,39500,Draw,920.64,1,1
RB Salzburg,0–2,Real Sociedad,28227,Red Bull Arena (Salzburg),Wals-Siezenheim,Austria,31895,Away Win,1267.17,0,3
Union Berlin,2–3,Braga,73445,Olympiastadion Berlin,Berlin,Germany,74475,Away Win,2044.94,0,3
Manchester Utd,2–3,Galatasaray,73204,Old Trafford,Manchester,England,74140,Away Win,2708.12,0,3
PSV Eindhoven,2–2,Sevilla,34206,Philips Stadion,Eindhoven,Netherlands,35000,Draw,1804.2,1,1
Inter,1–0,Benfica,66573,Stadio Giuseppe Meazza,Milano,Italy,75923,Home Win,1686.51,3,0
FC Copenhagen,1–2,Bayern Munich,35690,Parken,København,Denmark,38076,Away Win,842.77,0,3
Napoli,2–3,Real Madrid,51649,Stadio Diego Armando Maradona,Napoli,Italy,60240,Away Win,1516.98,0,3
Lens,2–1,Arsenal,37040,Stade Bollaert-Delelis,Lens,France,38223,Home Win,240.01,3,0
Atlético Madrid,3–2,Feyenoord,61742,Estadio Cívitas Metropolitano,Madrid,Spain,68456,Home Win,1424.53,3,0
Antwerp,2–3,Shakhtar,13509,Bosuilstadion,Antwerp,Belgium,16649,Away Win,460.88,0,3
Newcastle Utd,4–1,Paris S-G,52009,St James' Park,Newcastle,England,52409,Home Win,733.22,3,0
Porto,0–1,Barcelona,49722,Estádio do Dragão,Porto,Portugal,54378,Away Win,903.8,0,3
Celtic,1–2,Lazio,56063,Celtic Park,Glasgow,Scotland,60832,Away Win,1968.81,0,3
RB Leipzig,1–3,Manchester City,45228,Red Bull Arena (Leipzig),Leipzig,Germany,47069,Away Win,1020.94,0,3
Dortmund,0–0,Milan,81365,Signal Iduna Park,Dortmund,Germany,81365,Draw,684.68,1,1
Red Star,2–2,Young Boys,47201,Stadion Rajko Mitić,Beograd,Serbia,55538,Draw,1035.59,1,1
