Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Tue,2023-09-19,18:45,Milanit,1.9,0–0,0.3,engNewcastle Utd,"65,695",Stadio Giuseppe Meazza,José Sánchez,Match Report,
Group stage,1,Tue,2023-09-19,18:45,Young Boysch,0.5,1–3,2.6,deRB Leipzig,"31,500",Stadion Wankdorf,Enea Jorgji,Match Report,
Group stage,1,Tue,2023-09-19,20:00,Manchester Cityeng,4.1,3–1,0.8,rsRed Star,"50,204",Etihad Stadium,João Pinheiro,Match Report,
Group stage,1,Tue,2023-09-19,21:00,Paris S-Gfr,2.4,2–0,0.7,deDortmund,"47,379",Parc des Princes,Jesús Gil,Match Report,
Group stage,1,Tue,2023-09-19,21:00,Lazioit,1.2,1–1,0.9,esAtlético Madrid,"46,168",Stadio Olimpico,Slavko Vinčič,Match Report,
Group stage,1,Tue,2023-09-19,21:00,Feyenoordnl,1.6,2–0,0.3,sctCeltic,"44,008",Stadion Feijenoord,Irfan Peljto,Match Report,
Group stage,1,Tue,2023-09-19,21:00,Barcelonaes,2.8,5–0,0.3,beAntwerp,"40,989",Estadi Olímpic Lluís Companys,Radu Petrescu,Match Report,
Group stage,1,Tue,2023-09-19,22:00,Shakhtarua,0.5,1–3,1.8,ptPorto,"46,729",Volksparkstadion,Davide Massa,Match Report,
Group stage,1,Wed,2023-09-20,18:45,Real Madrides,3.7,1–0,0.2,deUnion Berlin,"65,207",Estadio Santiago Bernabéu,Espen Eskås,Match Report,
Group stage,1,Wed,2023-09-20,19:45,Galatasaraytr,1.1,2–2,0.6,dkFC Copenhagen,"46,911",RAMS Park,Georgi Kabakov,Match Report,
Group stage,1,Wed,2023-09-20,20:00,Bragapt,1.4,1–2,1.7,itNapoli,"18,422",Estádio Municipal de Braga,Serdar Gözübüyük,Match Report,
Group stage,1,Wed,2023-09-20,20:00,Arsenaleng,2.3,4–0,0.5,nlPSV Eindhoven,"58,860",Emirates Stadium,Felix Zwayer,Match Report,
Group stage,1,Wed,2023-09-20,20:00,Benficapt,1.5,0–2,3.3,atRB Salzburg,"60,917",Estádio do Sport Lisboa e Benfica,Halil Umut Meler,Match Report,
