stadium,City,Country,Capacity
Allianz Arena,München,Germany,75.024
Bosuil,Antwerp,Belgium,16.649
Celtic Park,Glasgow,Scotland,60.832
Cívitas Metropolitano,Madrid,Spain,68.456
De Kuip,Rotterdam,Netherlands,51.177
Diego Maradona,Napoli,Italy,60.240
Emirates Stadium,London,England,60.704
Estádio da Luz,Lisboa,Portugal,65.272
Estádio do Dragão,Porto,Portugal,54.378
Estádio Municipal de Braga,Braga,Portugal,30.154
Etihad Stadium,Manchester,England,55.097
Giuseppe Meazza,Milano,Italy,75.923
Marakana,Beograd,Serbia,55.538
Old Trafford,Manchester,England,74.140
Olímpic Lluís Companys,Barcelona,Spain,54.367
Olimpico,Roma,Italy,70.634
Olympiastadion,Berlin,Germany,74.475
Parc des Princes,Paris,France,48.229
Parken,København,Denmark,38.076
Philips Stadion,Eindhoven,Netherlands,35.000
Ramón Sánchez Pizjuán,Sevilla,Spain,43.883
Rams Park,Istanbul,Turkey,52.280
Reale Arena,San Sebastián,Spain,39.500
Red Bull Arena,Wals-Siezenheim,Austria,31.895
Red Bull Arena,Leipzig,Germany,47.069
Santiago Bernabéu,Madrid,Spain,81.044
Signal Iduna Park,Dortmund,Germany,81.365
St James' Park,Newcastle,England,52.409
Stade Bollaert-Delelis,Lens,France,38.223
Stadion Wankdorf,Bern,Switzerland,32.000
Volksparkstadion,Hamburg,Germany,57.000
Wembley Stadium,London,England,90.000
